doc_type,doc_id,title,text,icd_code,icd_desc
icd,icd:K35.80,ICD K35.80,K35.80 | Acute appendicitis without peritonitis or abscess,K35.80,Acute appendicitis without peritonitis or abscess
icd,icd:K37,ICD K37,K37 | Unspecified appendicitis,K37,Unspecified appendicitis
icd,icd:K40.90,ICD K40.90,"K40.90 | Unilateral inguinal hernia, without obstruction or gangrene",K40.90,"Unilateral inguinal hernia, without obstruction or gangrene"
icd,icd:K40.30,ICD K40.30,"K40.30 | Unilateral inguinal hernia with obstruction, without gangrene",K40.30,"Unilateral inguinal hernia with obstruction, without gangrene"
icd,icd:K42.0,ICD K42.0,K42.0 | Umbilical hernia with obstruction,K42.0,Umbilical hernia with obstruction
icd,icd:K42.9,ICD K42.9,K42.9 | Umbilical hernia without obstruction or gangrene,K42.9,Umbilical hernia without obstruction or gangrene
icd,icd:K50.90,ICD K50.90,"K50.90 | Crohn's disease, unspecified, without complications",K50.90,"Crohn's disease, unspecified, without complications"
icd,icd:K51.90,ICD K51.90,"K51.90 | Ulcerative colitis, unspecified, without complications",K51.90,"Ulcerative colitis, unspecified, without complications"
icd,icd:K52.9,ICD K52.9,"K52.9 | Noninfective gastroenteritis and colitis, unspecified",K52.9,"Noninfective gastroenteritis and colitis, unspecified"
icd,icd:K56.0,ICD K56.0,K56.0 | Paralytic ileus,K56.0,Paralytic ileus
icd,icd:K56.50,ICD K56.50,K56.50 | Intestinal adhesions with partial obstruction,K56.50,Intestinal adhesions with partial obstruction
icd,icd:K56.609,ICD K56.609,K56.609 | Unspecified intestinal obstruction,K56.609,Unspecified intestinal obstruction
icd,icd:K57.20,ICD K57.20,K57.20 | Diverticulitis of large intestine without perforation,K57.20,Diverticulitis of large intestine without perforation
icd,icd:K57.30,ICD K57.30,K57.30 | Diverticulosis of large intestine without perforation,K57.30,Diverticulosis of large intestine without perforation
icd,icd:K60.0,ICD K60.0,K60.0 | Acute anal fissure,K60.0,Acute anal fissure
icd,icd:K61.0,ICD K61.0,K61.0 | Anal abscess,K61.0,Anal abscess
icd,icd:K64.0,ICD K64.0,K64.0 | First degree haemorrhoids,K64.0,First degree haemorrhoids
icd,icd:K64.9,ICD K64.9,K64.9 | Unspecified haemorrhoids,K64.9,Unspecified haemorrhoids
icd,icd:K70.30,ICD K70.30,K70.30 | Alcoholic cirrhosis of liver without ascites,K70.30,Alcoholic cirrhosis of liver without ascites
icd,icd:K72.90,ICD K72.90,"K72.90 | Hepatic failure, unspecified without coma",K72.90,"Hepatic failure, unspecified without coma"
icd,icd:K74.60,ICD K74.60,K74.60 | Unspecified cirrhosis of liver,K74.60,Unspecified cirrhosis of liver
icd,icd:K75.0,ICD K75.0,K75.0 | Abscess of liver,K75.0,Abscess of liver
icd,icd:K76.0,ICD K76.0,K76.0 | Fatty (change of) liver,K76.0,Fatty (change of) liver
icd,icd:K80.00,ICD K80.00,K80.00 | Calculus of gallbladder with acute cholecystitis without obstruction,K80.00,Calculus of gallbladder with acute cholecystitis without obstruction
icd,icd:K80.20,ICD K80.20,"K80.20 | Calculus of gallbladder without cholecystitis, without obstruction",K80.20,"Calculus of gallbladder without cholecystitis, without obstruction"
icd,icd:K81.0,ICD K81.0,K81.0 | Acute cholecystitis,K81.0,Acute cholecystitis
icd,icd:K81.9,ICD K81.9,"K81.9 | Cholecystitis, unspecified",K81.9,"Cholecystitis, unspecified"
icd,icd:K83.0,ICD K83.0,K83.0 | Cholangitis,K83.0,Cholangitis
icd,icd:K85.90,ICD K85.90,"K85.90 | Acute pancreatitis without necrosis or infection, unspecified",K85.90,"Acute pancreatitis without necrosis or infection, unspecified"
icd,icd:K86.1,ICD K86.1,K86.1 | Other chronic pancreatitis,K86.1,Other chronic pancreatitis
icd,icd:K92.0,ICD K92.0,K92.0 | Haematemesis,K92.0,Haematemesis
icd,icd:K92.1,ICD K92.1,K92.1 | Melaena,K92.1,Melaena
icd,icd:K92.2,ICD K92.2,"K92.2 | Gastrointestinal haemorrhage, unspecified",K92.2,"Gastrointestinal haemorrhage, unspecified"
icd,icd:N10,ICD N10,N10 | Acute pyelonephritis,N10,Acute pyelonephritis
icd,icd:N11.9,ICD N11.9,"N11.9 | Chronic tubulo-interstitial nephritis, unspecified",N11.9,"Chronic tubulo-interstitial nephritis, unspecified"
icd,icd:N13.30,ICD N13.30,N13.30 | Unspecified hydronephrosis,N13.30,Unspecified hydronephrosis
icd,icd:N17.0,ICD N17.0,N17.0 | Acute kidney failure with tubular necrosis,N17.0,Acute kidney failure with tubular necrosis
icd,icd:N17.9,ICD N17.9,"N17.9 | Acute kidney failure, unspecified",N17.9,"Acute kidney failure, unspecified"
icd,icd:N18.3,ICD N18.3,"N18.3 | Chronic kidney disease, stage 3 (moderate)",N18.3,"Chronic kidney disease, stage 3 (moderate)"
icd,icd:N18.4,ICD N18.4,"N18.4 | Chronic kidney disease, stage 4 (severe)",N18.4,"Chronic kidney disease, stage 4 (severe)"
icd,icd:N18.5,ICD N18.5,"N18.5 | Chronic kidney disease, stage 5",N18.5,"Chronic kidney disease, stage 5"
icd,icd:N18.6,ICD N18.6,N18.6 | End stage renal disease,N18.6,End stage renal disease
icd,icd:N20.0,ICD N20.0,N20.0 | Calculus of kidney,N20.0,Calculus of kidney
icd,icd:N20.1,ICD N20.1,N20.1 | Calculus of ureter,N20.1,Calculus of ureter
icd,icd:N20.9,ICD N20.9,"N20.9 | Urinary calculus, unspecified",N20.9,"Urinary calculus, unspecified"
icd,icd:N23,ICD N23,N23 | Unspecified renal colic,N23,Unspecified renal colic
icd,icd:N30.00,ICD N30.00,N30.00 | Acute cystitis without haematuria,N30.00,Acute cystitis without haematuria
icd,icd:N30.01,ICD N30.01,N30.01 | Acute cystitis with haematuria,N30.01,Acute cystitis with haematuria
icd,icd:N39.0,ICD N39.0,"N39.0 | Urinary tract infection, site not specified",N39.0,"Urinary tract infection, site not specified"
icd,icd:N39.3,ICD N39.3,N39.3 | Stress incontinence (female),N39.3,Stress incontinence (female)
icd,icd:N39.41,ICD N39.41,N39.41 | Urge incontinence,N39.41,Urge incontinence
icd,icd:N40.0,ICD N40.0,N40.0 | Benign prostatic hyperplasia without lower urinary tract symptoms,N40.0,Benign prostatic hyperplasia without lower urinary tract symptoms
icd,icd:N40.1,ICD N40.1,N40.1 | Benign prostatic hyperplasia with lower urinary tract symptoms,N40.1,Benign prostatic hyperplasia with lower urinary tract symptoms
icd,icd:N41.0,ICD N41.0,N41.0 | Acute prostatitis,N41.0,Acute prostatitis
icd,icd:N41.1,ICD N41.1,N41.1 | Chronic prostatitis,N41.1,Chronic prostatitis
icd,icd:N44.01,ICD N44.01,N44.01 | Extravaginal torsion of spermatic cord,N44.01,Extravaginal torsion of spermatic cord
icd,icd:N44.02,ICD N44.02,N44.02 | Intravaginal torsion of spermatic cord,N44.02,Intravaginal torsion of spermatic cord
icd,icd:N45.1,ICD N45.1,N45.1 | Epididymitis,N45.1,Epididymitis
icd,icd:N45.3,ICD N45.3,N45.3 | Epididymo-orchitis,N45.3,Epididymo-orchitis
icd,icd:N70.01,ICD N70.01,N70.01 | Acute salpingitis,N70.01,Acute salpingitis
icd,icd:N70.91,ICD N70.91,"N70.91 | Salpingitis, unspecified",N70.91,"Salpingitis, unspecified"
icd,icd:N73.0,ICD N73.0,N73.0 | Acute parametritis and pelvic cellulitis,N73.0,Acute parametritis and pelvic cellulitis
icd,icd:N73.9,ICD N73.9,"N73.9 | Female pelvic inflammatory disease, unspecified",N73.9,"Female pelvic inflammatory disease, unspecified"
icd,icd:N76.0,ICD N76.0,N76.0 | Acute vaginitis,N76.0,Acute vaginitis
icd,icd:N80.0,ICD N80.0,N80.0 | Endometriosis of uterus,N80.0,Endometriosis of uterus
icd,icd:N83.20,ICD N83.20,N83.20 | Unspecified ovarian cyst,N83.20,Unspecified ovarian cyst
icd,icd:N94.6,ICD N94.6,"N94.6 | Dysmenorrhoea, unspecified",N94.6,"Dysmenorrhoea, unspecified"
icd,icd:N95.0,ICD N95.0,N95.0 | Postmenopausal bleeding,N95.0,Postmenopausal bleeding
icd,icd:G00.9,ICD G00.9,"G00.9 | Bacterial meningitis, unspecified",G00.9,"Bacterial meningitis, unspecified"
icd,icd:G03.9,ICD G03.9,"G03.9 | Meningitis, unspecified",G03.9,"Meningitis, unspecified"
icd,icd:G04.90,ICD G04.90,"G04.90 | Encephalitis and encephalomyelitis, unspecified",G04.90,"Encephalitis and encephalomyelitis, unspecified"
icd,icd:G20,ICD G20,G20 | Parkinson's disease,G20,Parkinson's disease
icd,icd:G25.0,ICD G25.0,G25.0 | Essential tremor,G25.0,Essential tremor
icd,icd:G25.81,ICD G25.81,G25.81 | Restless legs syndrome,G25.81,Restless legs syndrome
icd,icd:G35,ICD G35,G35 | Multiple sclerosis,G35,Multiple sclerosis
icd,icd:G40.009,ICD G40.009,"G40.009 | Localization-related epilepsy without status epilepticus, unspecified",G40.009,"Localization-related epilepsy without status epilepticus, unspecified"
icd,icd:G40.909,ICD G40.909,"G40.909 | Epilepsy, unspecified, not intractable, without status epilepticus",G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus"
icd,icd:G41.0,ICD G41.0,G41.0 | Grand mal status epilepticus,G41.0,Grand mal status epilepticus
icd,icd:G43.009,ICD G43.009,"G43.009 | Migraine without aura, not intractable",G43.009,"Migraine without aura, not intractable"
icd,icd:G43.109,ICD G43.109,"G43.109 | Migraine with aura, not intractable",G43.109,"Migraine with aura, not intractable"
icd,icd:G43.909,ICD G43.909,"G43.909 | Migraine, unspecified, not intractable",G43.909,"Migraine, unspecified, not intractable"
icd,icd:G44.009,ICD G44.009,"G44.009 | Cluster headache syndrome, unspecified, not intractable",G44.009,"Cluster headache syndrome, unspecified, not intractable"
icd,icd:G44.309,ICD G44.309,"G44.309 | Post-traumatic headache, unspecified, not intractable",G44.309,"Post-traumatic headache, unspecified, not intractable"
icd,icd:G45.0,ICD G45.0,G45.0 | Vertebro-basilar artery syndrome,G45.0,Vertebro-basilar artery syndrome
icd,icd:G45.9,ICD G45.9,"G45.9 | Transient cerebral ischaemic attack, unspecified",G45.9,"Transient cerebral ischaemic attack, unspecified"
icd,icd:G47.00,ICD G47.00,"G47.00 | Insomnia, unspecified",G47.00,"Insomnia, unspecified"
icd,icd:G47.30,ICD G47.30,"G47.30 | Sleep apnoea, unspecified",G47.30,"Sleep apnoea, unspecified"
icd,icd:G47.33,ICD G47.33,G47.33 | Obstructive sleep apnoea,G47.33,Obstructive sleep apnoea
icd,icd:G50.0,ICD G50.0,G50.0 | Trigeminal neuralgia,G50.0,Trigeminal neuralgia
icd,icd:G51.0,ICD G51.0,G51.0 | Bell palsy,G51.0,Bell palsy
icd,icd:G54.2,ICD G54.2,"G54.2 | Cervical root disorders, not elsewhere classified",G54.2,"Cervical root disorders, not elsewhere classified"
icd,icd:G54.4,ICD G54.4,G54.4 | Lumbosacral root disorders,G54.4,Lumbosacral root disorders
icd,icd:G56.00,ICD G56.00,"G56.00 | Carpal tunnel syndrome, unspecified upper limb",G56.00,"Carpal tunnel syndrome, unspecified upper limb"
icd,icd:G57.00,ICD G57.00,"G57.00 | Lesion of sciatic nerve, unspecified lower limb",G57.00,"Lesion of sciatic nerve, unspecified lower limb"
icd,icd:G61.0,ICD G61.0,G61.0 | Guillain-Barré syndrome,G61.0,Guillain-Barré syndrome
icd,icd:G62.9,ICD G62.9,"G62.9 | Polyneuropathy, unspecified",G62.9,"Polyneuropathy, unspecified"
icd,icd:G70.01,ICD G70.01,G70.01 | Myasthenia gravis with acute exacerbation,G70.01,Myasthenia gravis with acute exacerbation
icd,icd:G89.11,ICD G89.11,G89.11 | Acute pain due to trauma,G89.11,Acute pain due to trauma
icd,icd:G89.21,ICD G89.21,G89.21 | Chronic pain due to trauma,G89.21,Chronic pain due to trauma
icd,icd:G89.29,ICD G89.29,G89.29 | Other chronic pain,G89.29,Other chronic pain
icd,icd:G89.4,ICD G89.4,G89.4 | Chronic pain syndrome,G89.4,Chronic pain syndrome
icd,icd:G93.1,ICD G93.1,"G93.1 | Anoxic brain damage, not elsewhere classified",G93.1,"Anoxic brain damage, not elsewhere classified"
icd,icd:G93.40,ICD G93.40,"G93.40 | Encephalopathy, unspecified",G93.40,"Encephalopathy, unspecified"
icd,icd:G93.41,ICD G93.41,G93.41 | Metabolic encephalopathy,G93.41,Metabolic encephalopathy
icd,icd:G93.6,ICD G93.6,G93.6 | Cerebral oedema,G93.6,Cerebral oedema
icd,icd:G96.0,ICD G96.0,G96.0 | Cerebrospinal fluid leak,G96.0,Cerebrospinal fluid leak
icd,icd:F05,ICD F05,F05 | Delirium due to known physiological condition,F05,Delirium due to known physiological condition
icd,icd:F10.10,ICD F10.10,"F10.10 | Alcohol abuse, uncomplicated",F10.10,"Alcohol abuse, uncomplicated"
icd,icd:F10.120,ICD F10.120,"F10.120 | Alcohol abuse with intoxication, uncomplicated",F10.120,"Alcohol abuse with intoxication, uncomplicated"
icd,icd:F10.20,ICD F10.20,"F10.20 | Alcohol dependence, uncomplicated",F10.20,"Alcohol dependence, uncomplicated"
icd,icd:F10.230,ICD F10.230,"F10.230 | Alcohol dependence with withdrawal, uncomplicated",F10.230,"Alcohol dependence with withdrawal, uncomplicated"
icd,icd:F10.231,ICD F10.231,F10.231 | Alcohol dependence with withdrawal delirium,F10.231,Alcohol dependence with withdrawal delirium
icd,icd:F11.10,ICD F11.10,"F11.10 | Opioid abuse, uncomplicated",F11.10,"Opioid abuse, uncomplicated"
icd,icd:F11.120,ICD F11.120,"F11.120 | Opioid abuse with intoxication, uncomplicated",F11.120,"Opioid abuse with intoxication, uncomplicated"
icd,icd:F11.20,ICD F11.20,"F11.20 | Opioid dependence, uncomplicated",F11.20,"Opioid dependence, uncomplicated"
icd,icd:F12.120,ICD F12.120,"F12.120 | Cannabis abuse with intoxication, uncomplicated",F12.120,"Cannabis abuse with intoxication, uncomplicated"
icd,icd:F13.230,ICD F13.230,"F13.230 | Sedative dependence with withdrawal, uncomplicated",F13.230,"Sedative dependence with withdrawal, uncomplicated"
icd,icd:F14.120,ICD F14.120,"F14.120 | Cocaine abuse with intoxication, uncomplicated",F14.120,"Cocaine abuse with intoxication, uncomplicated"
icd,icd:F15.120,ICD F15.120,"F15.120 | Other stimulant abuse with intoxication, uncomplicated",F15.120,"Other stimulant abuse with intoxication, uncomplicated"
icd,icd:F19.120,ICD F19.120,"F19.120 | Other psychoactive substance abuse with intoxication, uncomplicated",F19.120,"Other psychoactive substance abuse with intoxication, uncomplicated"
icd,icd:F20.0,ICD F20.0,F20.0 | Paranoid schizophrenia,F20.0,Paranoid schizophrenia
icd,icd:F20.9,ICD F20.9,"F20.9 | Schizophrenia, unspecified",F20.9,"Schizophrenia, unspecified"
icd,icd:F23,ICD F23,F23 | Brief psychotic disorder,F23,Brief psychotic disorder
icd,icd:F25.0,ICD F25.0,"F25.0 | Schizoaffective disorder, bipolar type",F25.0,"Schizoaffective disorder, bipolar type"
icd,icd:F25.9,ICD F25.9,"F25.9 | Schizoaffective disorder, unspecified",F25.9,"Schizoaffective disorder, unspecified"
icd,icd:F31.10,ICD F31.10,"F31.10 | Bipolar disorder, current episode manic without psychotic features, unspecified",F31.10,"Bipolar disorder, current episode manic without psychotic features, unspecified"
icd,icd:F31.9,ICD F31.9,"F31.9 | Bipolar disorder, unspecified",F31.9,"Bipolar disorder, unspecified"
icd,icd:F32.0,ICD F32.0,"F32.0 | Major depressive disorder, single episode, mild",F32.0,"Major depressive disorder, single episode, mild"
icd,icd:F32.1,ICD F32.1,"F32.1 | Major depressive disorder, single episode, moderate",F32.1,"Major depressive disorder, single episode, moderate"
icd,icd:F32.2,ICD F32.2,"F32.2 | Major depressive disorder, single episode, severe without psychotic features",F32.2,"Major depressive disorder, single episode, severe without psychotic features"
icd,icd:F32.3,ICD F32.3,"F32.3 | Major depressive disorder, single episode, severe with psychotic features",F32.3,"Major depressive disorder, single episode, severe with psychotic features"
icd,icd:F32.9,ICD F32.9,"F32.9 | Major depressive disorder, single episode, unspecified",F32.9,"Major depressive disorder, single episode, unspecified"
icd,icd:F33.1,ICD F33.1,"F33.1 | Major depressive disorder, recurrent, moderate",F33.1,"Major depressive disorder, recurrent, moderate"
icd,icd:F33.9,ICD F33.9,"F33.9 | Major depressive disorder, recurrent, unspecified",F33.9,"Major depressive disorder, recurrent, unspecified"
icd,icd:F40.00,ICD F40.00,F40.00 | Agoraphobia without panic disorder,F40.00,Agoraphobia without panic disorder
icd,icd:F41.0,ICD F41.0,F41.0 | Panic disorder without agoraphobia,F41.0,Panic disorder without agoraphobia
icd,icd:F41.1,ICD F41.1,F41.1 | Generalised anxiety disorder,F41.1,Generalised anxiety disorder
icd,icd:F41.9,ICD F41.9,"F41.9 | Anxiety disorder, unspecified",F41.9,"Anxiety disorder, unspecified"
icd,icd:F42.9,ICD F42.9,"F42.9 | Obsessive-compulsive disorder, unspecified",F42.9,"Obsessive-compulsive disorder, unspecified"
icd,icd:F43.0,ICD F43.0,F43.0 | Acute stress reaction,F43.0,Acute stress reaction
icd,icd:F43.10,ICD F43.10,"F43.10 | Post-traumatic stress disorder, unspecified",F43.10,"Post-traumatic stress disorder, unspecified"
icd,icd:F43.12,ICD F43.12,"F43.12 | Post-traumatic stress disorder, chronic",F43.12,"Post-traumatic stress disorder, chronic"
icd,icd:F43.21,ICD F43.21,F43.21 | Adjustment disorder with depressed mood,F43.21,Adjustment disorder with depressed mood
icd,icd:F43.22,ICD F43.22,F43.22 | Adjustment disorder with anxiety,F43.22,Adjustment disorder with anxiety
icd,icd:F43.23,ICD F43.23,F43.23 | Adjustment disorder with mixed anxiety and depressed mood,F43.23,Adjustment disorder with mixed anxiety and depressed mood
icd,icd:F50.00,ICD F50.00,"F50.00 | Anorexia nervosa, unspecified",F50.00,"Anorexia nervosa, unspecified"
icd,icd:F50.2,ICD F50.2,F50.2 | Bulimia nervosa,F50.2,Bulimia nervosa
icd,icd:F60.3,ICD F60.3,F60.3 | Borderline personality disorder,F60.3,Borderline personality disorder
icd,icd:F60.9,ICD F60.9,"F60.9 | Personality disorder, unspecified",F60.9,"Personality disorder, unspecified"
icd,icd:F90.9,ICD F90.9,"F90.9 | Attention-deficit hyperactivity disorder, unspecified type",F90.9,"Attention-deficit hyperactivity disorder, unspecified type"
icd,icd:F99,ICD F99,"F99 | Mental disorder, not otherwise specified",F99,"Mental disorder, not otherwise specified"
icd,icd:M00.9,ICD M00.9,"M00.9 | Pyogenic arthritis, unspecified",M00.9,"Pyogenic arthritis, unspecified"
icd,icd:M06.9,ICD M06.9,"M06.9 | Rheumatoid arthritis, unspecified",M06.9,"Rheumatoid arthritis, unspecified"
icd,icd:M10.00,ICD M10.00,"M10.00 | Idiopathic gout, unspecified site",M10.00,"Idiopathic gout, unspecified site"
icd,icd:M10.07,ICD M10.07,"M10.07 | Idiopathic gout, ankle and foot",M10.07,"Idiopathic gout, ankle and foot"
icd,icd:M10.9,ICD M10.9,"M10.9 | Gout, unspecified",M10.9,"Gout, unspecified"
icd,icd:M13.0,ICD M13.0,"M13.0 | Polyarthritis, unspecified",M13.0,"Polyarthritis, unspecified"
icd,icd:M16.9,ICD M16.9,"M16.9 | Osteoarthritis of hip, unspecified",M16.9,"Osteoarthritis of hip, unspecified"
icd,icd:M17.11,ICD M17.11,"M17.11 | Primary osteoarthritis, right knee",M17.11,"Primary osteoarthritis, right knee"
icd,icd:M17.12,ICD M17.12,"M17.12 | Primary osteoarthritis, left knee",M17.12,"Primary osteoarthritis, left knee"
icd,icd:M17.9,ICD M17.9,"M17.9 | Osteoarthritis of knee, unspecified",M17.9,"Osteoarthritis of knee, unspecified"
icd,icd:M25.311,ICD M25.311,M25.311 | Pain in right shoulder,M25.311,Pain in right shoulder
icd,icd:M25.312,ICD M25.312,M25.312 | Pain in left shoulder,M25.312,Pain in left shoulder
icd,icd:M25.321,ICD M25.321,M25.321 | Pain in right elbow,M25.321,Pain in right elbow
icd,icd:M25.361,ICD M25.361,M25.361 | Pain in right knee,M25.361,Pain in right knee
icd,icd:M25.362,ICD M25.362,M25.362 | Pain in left knee,M25.362,Pain in left knee
icd,icd:M25.371,ICD M25.371,M25.371 | Pain in right ankle,M25.371,Pain in right ankle
icd,icd:M35.0,ICD M35.0,M35.0 | Sjögren syndrome,M35.0,Sjögren syndrome
icd,icd:M45.0,ICD M45.0,M45.0 | Ankylosing spondylitis of multiple sites in spine,M45.0,Ankylosing spondylitis of multiple sites in spine
icd,icd:M47.816,ICD M47.816,"M47.816 | Spondylosis without myelopathy or radiculopathy, lumbar region",M47.816,"Spondylosis without myelopathy or radiculopathy, lumbar region"
icd,icd:M48.06,ICD M48.06,"M48.06 | Spinal stenosis, lumbar region",M48.06,"Spinal stenosis, lumbar region"
icd,icd:M50.20,ICD M50.20,"M50.20 | Other cervical disc displacement, unspecified cervical region",M50.20,"Other cervical disc displacement, unspecified cervical region"
icd,icd:M51.16,ICD M51.16,"M51.16 | Intervertebral disc degeneration, lumbar region",M51.16,"Intervertebral disc degeneration, lumbar region"
icd,icd:M54.2,ICD M54.2,M54.2 | Cervicalgia,M54.2,Cervicalgia
icd,icd:M54.30,ICD M54.30,"M54.30 | Sciatica, unspecified side",M54.30,"Sciatica, unspecified side"
icd,icd:M54.31,ICD M54.31,"M54.31 | Sciatica, right side",M54.31,"Sciatica, right side"
icd,icd:M54.32,ICD M54.32,"M54.32 | Sciatica, left side",M54.32,"Sciatica, left side"
icd,icd:M54.40,ICD M54.40,"M54.40 | Lumbago with sciatica, unspecified side",M54.40,"Lumbago with sciatica, unspecified side"
icd,icd:M54.41,ICD M54.41,"M54.41 | Lumbago with sciatica, right side",M54.41,"Lumbago with sciatica, right side"
icd,icd:M54.50,ICD M54.50,"M54.50 | Low back pain, unspecified",M54.50,"Low back pain, unspecified"
icd,icd:M54.51,ICD M54.51,M54.51 | Vertebrogenic low back pain,M54.51,Vertebrogenic low back pain
icd,icd:M54.9,ICD M54.9,"M54.9 | Dorsalgia, unspecified",M54.9,"Dorsalgia, unspecified"
icd,icd:M62.830,ICD M62.830,M62.830 | Muscle spasm,M62.830,Muscle spasm
icd,icd:M65.30,ICD M65.30,"M65.30 | Trigger finger, unspecified finger",M65.30,"Trigger finger, unspecified finger"
icd,icd:M70.50,ICD M70.50,"M70.50 | Bursitis of hip, unspecified hip",M70.50,"Bursitis of hip, unspecified hip"
icd,icd:M75.0,ICD M75.0,M75.0 | Adhesive capsulitis of shoulder,M75.0,Adhesive capsulitis of shoulder
icd,icd:M75.1,ICD M75.1,M75.1 | Rotator cuff syndrome,M75.1,Rotator cuff syndrome
icd,icd:M76.60,ICD M76.60,"M76.60 | Achilles tendinitis, unspecified leg",M76.60,"Achilles tendinitis, unspecified leg"
icd,icd:M77.11,ICD M77.11,"M77.11 | Lateral epicondylitis, right elbow",M77.11,"Lateral epicondylitis, right elbow"
icd,icd:M79.1,ICD M79.1,M79.1 | Myalgia,M79.1,Myalgia
icd,icd:M79.2,ICD M79.2,"M79.2 | Neuralgia and neuritis, unspecified",M79.2,"Neuralgia and neuritis, unspecified"
icd,icd:M79.3,ICD M79.3,"M79.3 | Panniculitis, unspecified",M79.3,"Panniculitis, unspecified"
icd,icd:M79.7,ICD M79.7,M79.7 | Fibromyalgia,M79.7,Fibromyalgia
icd,icd:M81.0,ICD M81.0,M81.0 | Age-related osteoporosis without current pathological fracture,M81.0,Age-related osteoporosis without current pathological fracture
icd,icd:M86.9,ICD M86.9,"M86.9 | Osteomyelitis, unspecified",M86.9,"Osteomyelitis, unspecified"
icd,icd:A04.5,ICD A04.5,A04.5 | Campylobacter enteritis,A04.5,Campylobacter enteritis
icd,icd:A04.7,ICD A04.7,A04.7 | Enterocolitis due to Clostridium difficile,A04.7,Enterocolitis due to Clostridium difficile
icd,icd:A08.0,ICD A08.0,A08.0 | Rotaviral enteritis,A08.0,Rotaviral enteritis
icd,icd:A09,ICD A09,"A09 | Infectious gastroenteritis and colitis, unspecified",A09,"Infectious gastroenteritis and colitis, unspecified"
icd,icd:A40.0,ICD A40.0,"A40.0 | Sepsis due to streptococcus, group A",A40.0,"Sepsis due to streptococcus, group A"
icd,icd:A40.9,ICD A40.9,"A40.9 | Streptococcal sepsis, unspecified",A40.9,"Streptococcal sepsis, unspecified"
icd,icd:A41.01,ICD A41.01,A41.01 | Sepsis due to Methicillin susceptible Staphylococcus aureus,A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus
icd,icd:A41.02,ICD A41.02,A41.02 | Sepsis due to Methicillin resistant Staphylococcus aureus,A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus
